suite,test,category,reason,detail
aidamri,Nipype BET interface,nonzero_exit,"exit code 1, want 0","Traceback (most recent call last): |   File ""<stdin>"", line 7, in <module> |   File ""/opt/miniconda-latest/lib/python3.6/site-packages/nipype/interfaces/base/core.py"", line 521, in run |     runtime = self._run_interface(runtime)"
aidamri,Nipype FLIRT interface,command_not_found,"exit code 1, want 0","Traceback (most recent call last): |   File ""<stdin>"", line 8, in <module> |   File ""/opt/miniconda-latest/lib/python3.6/site-packages/nipype/interfaces/base/core.py"", line 521, in run |     runtime = self._run_interface(runtime)"
aidamri,Nipype MCFLIRT interface,command_not_found,"exit code 1, want 0","Traceback (most recent call last): |   File ""<stdin>"", line 6, in <module> |   File ""/opt/miniconda-latest/lib/python3.6/site-packages/nipype/interfaces/base/core.py"", line 521, in run |     runtime = self._run_interface(runtime)"
ants,N4 with custom convergence,timeout,"Command '['bash', '-lc', 'source /home/runner/work/_temp/pyneurodesk-fulltest-ants/.pyneurodesk-fulltest-activate.sh\nN4BiasFieldCorrection -d 3 -i ds000001/sub-01/anat/sub-01_T1w.nii.gz -o test_output/t1w_n4_custom.nii.gz -s 2 -c [100x100x100x50,0.001] -b [200] -v 0']' timed out after 120.0 seconds",
ants,Denoise image Rician model,timeout,"Command '['bash', '-lc', 'source /home/runner/work/_temp/pyneurodesk-fulltest-ants/.pyneurodesk-fulltest-activate.sh\nDenoiseImage -d 3 -i ds000001/sub-01/anat/sub-01_T1w.nii.gz -n Rician -o test_output/t1w_denoise_rician.nii.gz -v 0']' timed out after 120.0 seconds",
ants,Denoise image Gaussian model,timeout,"Command '['bash', '-lc', 'source /home/runner/work/_temp/pyneurodesk-fulltest-ants/.pyneurodesk-fulltest-activate.sh\nDenoiseImage -d 3 -i ds000001/sub-01/anat/sub-01_T1w.nii.gz -n Gaussian -o test_output/t1w_denoise_gaussian.nii.gz -v 0']' timed out after 120.0 seconds",
ants,Denoise with noise image output,timeout,"Command '['bash', '-lc', 'source /home/runner/work/_temp/pyneurodesk-fulltest-ants/.pyneurodesk-fulltest-activate.sh\nDenoiseImage -d 3 -i ds000001/sub-01/anat/sub-01_T1w.nii.gz -n Gaussian -o [test_output/t1w_denoise_with_noise.nii.gz,test_output/t1w_noise_estimate.nii.gz] -v 0']' timed out after 120.0 seconds",
ants,Affine initializer,timeout,"Command '['bash', '-lc', 'source /home/runner/work/_temp/pyneurodesk-fulltest-ants/.pyneurodesk-fulltest-activate.sh\nantsAffineInitializer 3 ds000001/sub-01/anat/sub-01_T1w.nii.gz ds000001/sub-01/anat/sub-01_inplaneT2.nii.gz test_output/affine_init.mat 15 0.1 0 10']' timed out after 120.0 seconds",
ashs,ASHS main help,missing_output,missing output fragment 'ashs_main: automatic segmentation of hippocampal subfields',
ashs,ASHS train help,missing_output,missing output fragment 'ashs_train: generate a new training set',
